nama_produk,harga,nama_toko,kota,terjual,rating
KERUPUK SEBLAK BETON BANTAT PEDES GURIH DAUN JERUK 250GRAM,Rp19.000,Madinah Oleh Oleh Bdg,Bandung,70+ terjual,4.9
Seblak Bu Etu - Misdaseum / Original,Rp19.900,Bakso Bu Etu,Kab. Bandung,750+ terjual,4.9
CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,Rp35.789,nyemilsaji,Kab. Bandung,750+ terjual,4.9
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",Rp22.500,global cookware1,Jakarta Barat,1rb+ terjual,4.8
[ 250gr ] Kerupuk Seblak Kencur Pedas Daun Jeruk / Camilan Snack Murah,Rp7.250,Bara Snack Kediri 1,Kediri,29 terjual,5.0
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,Tangerang Selatan,500+ terjual,4.8
[ 250gr ] Kerupuk Seblak Jengkol Pedas / Camilan Snack Kiloan Murah,Rp13.500,Bara Snack Kediri 1,Kediri,6 terjual,5.0
seblak ceker pedas,Rp8.995,snack_it,Tangerang Selatan,500+ terjual,4.9
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,Rp19.500,dariimyu,Kab. Indramayu,250+ terjual,4.9
kerupuk seblak rafael 200gr,Rp10.999,Bunda Qiana Store,Bandung,30+ terjual,4.8
Tempat Toping seblak prasmanan 3ruang,Rp305.200,Fajar Akrilik Display2,Tangerang,,
Seblak Instan Sehati,Rp13.000,Official Kartika Sari,Bandung,750+ terjual,5.0
SEBLAK KERING KERUPUK BETON 500GR PEDAS DAUN JERUK,Rp27.999,BANDUNG SNACK CENTER.ID,Kab. Bandung,21 terjual,4.2
Krupuk seblak kencur 500gram,Rp12.000,Ummuchasna,Kab. Magelang,30+ terjual,4.9
Kylafood Seblak Cup isi 2 pcs,Rp25.020Rp27.800,kylafood,Bandung,60+ terjual,4.9
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,Rp21.750,SuperSnacksShop,Kab. Bandung,250+ terjual,4.9
TEMPAT TOPING SEBLAK PRASMANAN,Rp650.000,Fajar Akrilik Display,Tangerang,,
Seblak Cobek Seblak Rafael Seblak Ala Rafael_1616 Seblak Sambel Kencur,Rp8.782,NomeL Shop,Surabaya,40+ terjual,4.9
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,Rp65.000Rp85.000,Lidigeli,Kab. Garut,60+ terjual,4.7
SEBLAK CUANKI KUAH CUP INSTAN PUSPA ( PUSAKA PARAHYANGAN ) 6 min,Rp12.500,Berkah Niaga Jaya,Kab. Garut,750+ terjual,4.9
"(COD) seblak kering kerupuk jengkol bumbu basah,pedas",Rp25.000,anugrah seblak,Kab. Bandung,60+ terjual,4.6
Kylafood Paket 4 Seblak Original 1 Batagor,Rp91.000Rp114.500,kylafood,Bandung,1rb+ terjual,4.9
Seblak Kering Gurih 65gram,Rp12.900,Lidigeli,Kab. Garut,100+ terjual,5.0
krupuk seblak hah pedas gurih 200gr,Rp11.500,Markas Makaroni,Kab. Bekasi,1rb+ terjual,4.9
BASO ACI HOMEMADE boci isi 6 baso aci tulang rangu seblak Boci sehot,Rp3.800,NomeL Shop,Surabaya,100+ terjual,4.4
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300Rp64.000,Rak Sebelah,Jakarta Pusat,100+ terjual,4.9
"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",Rp23.000,anugrah seblak,Kab. Bandung,250+ terjual,4.7
Bumbu Seblak Instan 15gr Bisa Untuk 2porsi,Rp2.900,Hokishopsurabaya,Surabaya,1 terjual,5.0
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,Rp20.000,KailaAini_collection,Kab. Karawang,70+ terjual,5.0
