nama_produk,harga,nama_toko,kota,terjual,rating
[ 500gr ] Kerupuk Seblak Bantet / Seblak Kencur Pedas Daun Jeruk -B,19950,Bara Snack Kediri 1,Kediri,12,5.0
Seblak Mommy,13900,Gerai Snack Official Shop,Kab. Tangerang,2000,4.6
Seblak ceker 2 putra kemasan gopean (500),8800,BAGEAJAYA FOOD,Kab.Ciamis,250,5.0
Elod | Sebring Elod | keripik Elod | seblak kering,29500,This Story Shop,Kab. Bandung,100,4.9
Kylafood Seblak Rempah Autentik isi (10pcs),116100,kylafood,Bandung,90,4.9
BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,1500,yohangunawan94,Bandung,100,5.0
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,39999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Kylafood Mix Pentol Kuah dan Seblak Original,42500,kylafood,Bandung,60,4.9
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,28500,Pasar Keripik Bandung,Bandung,30,5.0
Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,33000,Kerabat Official Store,Kab. Tasikmalaya,250,4.9
Seblak Mamang Rafael,33000,Ice Cream Universe,Denpasar,9,0.0
krupuk seblak hah pedas gurih 500gr,26500,Markas Makaroni,Kab. Bekasi,1000,4.9
"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",40000,Sajodo Snack & Food,Tasikmalaya,10,5.0
Kerupuk seblak kering 500 gram extra pedas /seblak kering kencur pedas,28700,oyun kriukzz,Jakarta Barat,50,4.7
Krupuk seblak mawar rafael pedas 500gr,23500,Markas Makaroni,Kab. Bekasi,250,4.9
Seblak Bapper,16000,Pedas Gilaa,Surabaya,250,4.8
Kerupuk Seblak Tatangga Mamang Rafael Pedas Kencur Daun Jeruk 500gr,29511,Cemilan Kang Asep,Kab. Bandung,40,5.0
seblak rafael - Asin,19000,Bung Boe Snack,Kab. Sumedang,8,5.0
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Seblak Ceker pedes asin gurih 250gram,15000,SnackTime168,Kab. Badung,0,0.0
SEBLAK BETON 500GR CIKRUH PEDAS DAUN JERUK BOS SNACK BANDUNG,22550,BOS SNACK BANDUNG,Bandung,0,0.0
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK 250GRAM SNACK KILOAN,15000,ajs(ale jaya snack),Jakarta Utara,30,4.8
Seblak Instan Komplit Bumbu Basah,9859,Eatbam store,Jakarta Timur,70,4.7
(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta,8380,karoppotta official,Makassar,100,4.9
SEBLAK COBEK VIRAL ALA RAFAEL DIJAMIN ENAK,6000,Uai Food,Surabaya,90,4.3
Si Bumbu Seblak 15gr,2000,JessicaQuinn,Bandung,100,5.0
Sajodo Snack - Seblak dan Keju Aroma,18500,LAPAK MILEA,Surabaya,10,4.0
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,19000,Lidigeli,Kab. Garut,250,4.9
Kikoya Snack Sapi Panggang / Balado / BBQ / Rumput Laut / Seblak Sunda,1000,The Nut House,Surabaya,40,4.8
"Toping Seblak Baso Aci PAKET MIX 100pcs Cuanki Lidah, Siomay dan Baso",31000,gaiagarut,Kab. Garut,500,4.8
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,26500,BociKakang,Jakarta Selatan,500,5.0
BUMBU BASO ACI SEBLAK 100gr,12000,jajanangarut19,Jakarta Selatan,250,4.9
SEBLAK INSTAN SIAP SAJI,15897,nyemilsaji,Kab. Bandung,1000,4.8
PAMET HEMAT 4 SEBLAK BANG SATRIA KEMASAN PREMIUM,100000,Pusat Pajamas Tasik,Tasikmalaya,0,0.0
"Kylafood Paket (Seblak cup, Seblak rempah, Basreng pedas, Basreng ori)",49140,kylafood,Bandung,16,4.7
Batagor Lidah Renyah Pelengkap Seblak Baso Aci atau Cuanki,15900,afcbandung,Bandung,100,4.9
YIMS seblak instant box termurah teh kerupuk seblak pedas khas garut,8500,Yimshop,Semarang,70,4.6
"keripik beling / kaca 1 kg. bumbu seblak daun jeruk enak, gurih, pedas",44999,aghniya,Tangerang Selatan,250,4.8
